Trajectory_1,Trajectory_2,Trajectory_3,Trajectory_4,Trajectory_5,Trajectory_6
3.10463646364902,-2.20650513501431,-1.5604342726701,2.19614308088952,1.5707963267949,-1.53384013685412
2.99642572501304,-2.22086220123866,-1.53472650010279,2.18479237454654,1.5707963267949,-1.42562939821815
2.95253467725311,-2.21783498713831,-1.54015745376688,2.18719611411028,1.5707963267949,-1.38173835045822
2.9193623180957,-2.21169739138556,-1.55115153929182,2.19205260388248,1.5707963267949,-1.3485659913008
2.89183052452031,-2.20381972582945,-1.56522871882922,2.19825211786377,1.5707963267949,-1.32103419772541
2.86798673878223,-2.1947294859743,-1.58142465865771,2.20535781783711,1.5707963267949,-1.29719041198733
2.84684385497256,-2.18469075320884,-1.59924946075228,2.21314388716622,1.5707963267949,-1.27604752817766
2.82783008919751,-2.17385255633283,-1.61842025039726,2.2214764799352,1.5707963267949,-1.25703376240261
2.81058828598748,-2.16230321201167,-1.63876284983347,2.23026973505024,1.5707963267949,-1.23979195919258
2.79488703292355,-2.15009441953123,-1.66016789566674,2.23946598840308,1.5707963267949,-1.22409070612865
2.78057632214479,-2.13725322110243,-1.68256878106845,2.24902567537599,1.5707963267949,-1.20977999534989
2.76756385085283,-2.12378828025104,-1.70592976637302,2.25892171982917,1.5707963267949,-1.19676752405794
2.75580212753099,-2.10969313124804,-1.73023943334053,2.26913623779367,1.5707963267949,-1.1850058007361
2.74528196357969,-2.09494758260094,-1.75550729247056,2.27965854827661,1.5707963267949,-1.17448563678479
2.73603032965745,-2.07951779817781,-1.78176251825548,2.29048398963839,1.5707963267949,-1.16523400286256
2.72811180606791,-2.06335522684729,-1.80905438518211,2.3016132852345,1.5707963267949,-1.15731547927301
2.72163368873173,-2.0463943053169,-1.83745435804753,2.31305233656953,1.5707963267949,-1.15083736193683
2.71675560143259,-2.02854861293915,-1.86706012554179,2.32481241168604,1.5707963267949,-1.14595927463769
2.71370552600159,-2.00970481745973,-1.89800228688737,2.3369107775522,1.5707963267949,-1.1429091992067
2.71280595963563,-1.98971317370954,-1.93045508410886,2.34937193102351,1.5707963267949,-1.14200963284074
2.71451740007375,-1.96837222733665,-1.96465386629041,2.36222976683216,1.5707963267949,-1.14372107327885
2.71951387410011,-1.94540301938769,-2.00092471227295,2.37553140486574,1.5707963267949,-1.14871754730521
2.72882320179741,-1.92040253372796,-2.03973811334365,2.38934432027671,1.5707963267949,-1.15802687500251
2.74411373031352,-1.89275120436088,-2.08181610325227,2.40377098081825,1.5707963267949,-1.17331740351862
2.76836970778941,-1.86140120037696,-2.12837893986346,2.41898381344553,1.5707963267949,-1.19757338099451
2.80789278672818,-1.82426687127042,-2.18186152644616,2.43533207092168,1.5707963267949,-1.23709645993328
2.88177231078684,-1.7754262206898,-2.2492469049599,2.4538767988548,1.5707963267949,-1.31097598399194
