Pose_1,Pose_2,Pose_3,Pose_4,Pose_5,Pose_6
0,0,0,-0.7,0.200000005268356,0.5
0,0,0,-0.685,0.275993420767854,0.5
0,0,0,-0.67,0.305356537528528,0.5
0,0,0,-0.655,0.326392246597646,0.5
0,0,0,-0.64,0.342828568570857,0.5
0,0,0,-0.625,0.35612494995996,0.5
0,0,0,-0.61,0.367032930884901,0.5
0,0,0,-0.595,0.37599715906798,0.5
0,0,0,-0.58,0.383303027798234,0.5
0,0,0,-0.565,0.389142803193777,0.5
0,0,0,-0.55,0.393649167310371,0.5
0,0,0,-0.535,0.396913686675152,0.5
0,0,0,-0.52,0.398997487421324,0.5
0,0,0,-0.505,0.399937490231322,0.5
0,0,0,-0.49,0.399749843554382,0.5
0,0,0,-0.475,0.398431348329844,0.5
0,0,0,-0.46,0.395959179422654,0.5
0,0,0,-0.445,0.392288845230294,0.5
0,0,0,-0.43,0.387349939951952,0.5
0,0,0,-0.415,0.381038669902317,0.5
0,0,0,-0.4,0.373205080756888,0.5
0,0,0,-0.385,0.363630681719536,0.5
0,0,0,-0.37,0.351986841535707,0.5
0,0,0,-0.355,0.337749773139559,0.5
0,0,0,-0.34,0.32,0.5
0,0,0,-0.325,0.296824583655185,0.5
0,0,0,-0.31,0.262449979983984,0.5
