Pose_1,Pose_2,Pose_3,Pose_4,Pose_5,Pose_6
0,0,0,-0.68,0.70000000456253,0.5
0,0,0,-0.677,0.732726136343907,0.5
0,0,0,-0.674,0.746086874487212,0.5
0,0,0,-0.671,0.756204981985586,0.5
0,0,0,-0.668,0.764621977685614,0.5
0,0,0,-0.665,0.771937472849691,0.5
0,0,0,-0.662,0.778460180983732,0.5
0,0,0,-0.659,0.784374166662551,0.5
0,0,0,-0.656,0.789799777282575,0.5
0,0,0,-0.653,0.794820883775675,0.5
0,0,0,-0.65,0.799498743710662,0.5
0,0,0,-0.647,0.803879738159085,0.5
0,0,0,-0.644,0.808,0.5
0,0,0,-0.641,0.811888337193829,0.5
0,0,0,-0.638,0.815568161705549,0.5
0,0,0,-0.635,0.819058808997907,0.5
0,0,0,-0.632,0.822376468326227,0.5
0,0,0,-0.629,0.825534855717446,0.5
0,0,0,-0.626,0.828545711713771,0.5
0,0,0,-0.623,0.831419176682857,0.5
0,0,0,-0.62,0.834164078649987,0.5
0,0,0,-0.617,0.836788157382136,0.5
0,0,0,-0.614,0.839298241194927,0.5
0,0,0,-0.611,0.841700388143435,0.5
0,0,0,-0.608,0.844,0.5
0,0,0,-0.605,0.846201915172134,0.5
0,0,0,-0.602,0.848310485131699,0.5
0,0,0,-0.599,0.850329637796411,0.5
0,0,0,-0.596,0.852262930485394,0.5
0,0,0,-0.593,0.854113594468496,0.5
0,0,0,-0.59,0.855884572681199,0.5
0,0,0,-0.587,0.857578551840027,0.5
0,0,0,-0.584,0.859197989937059,0.5
0,0,0,-0.581,0.860745139895426,0.5
0,0,0,-0.578,0.862222070015149,0.5
0,0,0,-0.575,0.863630681719536,0.5
0,0,0,-0.572,0.86497272501841,0.5
0,0,0,-0.569,0.866249812029969,0.5
0,0,0,-0.566,0.867463428843434,0.5
0,0,0,-0.563,0.868614945956757,0.5
0,0,0,-0.56,0.869705627484771,0.5
0,0,0,-0.557,0.870736639301586,0.5
0,0,0,-0.554,0.87170905625505,0.5
0,0,0,-0.551,0.87262386856979,0.5
0,0,0,-0.548,0.873481987537612,0.5
0,0,0,-0.545,0.874284250579334,0.5
0,0,0,-0.542,0.875031425749778,0.5
0,0,0,-0.539,0.87572421574729,0.5
0,0,0,-0.536,0.876363261480389,0.5
0,0,0,-0.533,0.876949145236704,0.5
0,0,0,-0.53,0.877482393492988,0.5
0,0,0,-0.527,0.877963479399567,0.5
0,0,0,-0.524,0.878392824967822,0.5
0,0,0,-0.521,0.878770802985275,0.5
0,0,0,-0.518,0.879097738679192,0.5
0,0,0,-0.515,0.879373911146521,0.5
0,0,0,-0.512,0.879599554565149,0.5
0,0,0,-0.509,0.879774859198944,0.5
0,0,0,-0.506,0.879899972206779,0.5
0,0,0,-0.503,0.879974998263648,0.5
0,0,0,-0.5,0.88,0.5
0,0,0,-0.497,0.879974998263648,0.5
0,0,0,-0.494,0.879899972206779,0.5
0,0,0,-0.491,0.879774859198944,0.5
0,0,0,-0.488,0.879599554565149,0.5
0,0,0,-0.485,0.879373911146521,0.5
