Trajectory_1,Trajectory_2,Trajectory_3,Trajectory_4,Trajectory_5,Trajectory_6
2.52095632459153,-2.61306862995834,-0.794541759239275,1.83681406240271,1.5707963267949,-0.950159997796637
2.49199962774477,-2.66464446480568,-0.693003394980893,1.78685153299168,1.5707963267949,-0.921203300949872
2.47940892475317,-2.68504509160482,-0.652621484764715,1.76687024957464,1.5707963267949,-0.908612597958273
2.46953559260237,-2.7001775927463,-0.622589242167634,1.75197050811904,1.5707963267949,-0.89873926580747
2.46107733372765,-2.71251074923287,-0.598063837593031,1.73977826003101,1.5707963267949,-0.890281006932756
2.45352828580455,-2.72300088786514,-0.57716918942137,1.72937375049161,1.5707963267949,-0.882731959009655
2.44662834235585,-2.73213767080129,-0.558944722902507,1.7202860669089,1.5707963267949,-0.875832015560957
2.44022261476407,-2.74021105545912,-0.54282168595321,1.71223641461744,1.5707963267949,-0.869426287969169
2.43420995443541,-2.74740911556543,-0.528431235348896,1.70504402411943,1.5707963267949,-0.863413627640516
2.42851995201219,-2.75386177606873,-0.515518622854305,1.69858407212814,1.5707963267949,-0.857723625217295
2.42310123874932,-2.75966308091081,-0.503899496307638,1.69276625042355,1.5707963267949,-0.852304911954426
2.4179149613633,-2.76488363359504,-0.493435481498074,1.68752278829822,1.5707963267949,-0.847118634568408
2.41293088082592,-2.76957805232778,-0.484019546168762,1.68280127170165,1.5707963267949,-0.842134554031026
2.40812490974111,-2.77378969024665,-0.475566730863162,1.67856009431492,1.5707963267949,-0.83732858294621
2.40347748831206,-2.77755375926057,-0.468008012883306,1.67476544534898,1.5707963267949,-0.832681161517167
2.39897247404601,-2.78089947336236,-0.461286095065461,1.67138924163292,1.5707963267949,-0.828176147251113
2.3945963593997,-2.7838515631712,-0.455352429253442,1.66840766562974,1.5707963267949,-0.823800032604804
2.39033770614399,-2.7864313719134,-0.450165062074816,1.66580010719332,1.5707963267949,-0.819541379349096
2.38618672725076,-2.78865766339847,-0.445687046899052,1.66354838350263,1.5707963267949,-0.815390400455867
2.3821349718044,-2.79054722586806,-0.441885257430329,1.66163615650349,1.5707963267949,-0.811338645009507
2.37817508349044,-2.79211532728971,-0.438729493903047,1.66004849439786,1.5707963267949,-0.807378756695541
2.37430061267784,-2.79337606000318,-0.436191807480165,1.65877154068845,1.5707963267949,-0.803504285882943
2.37050586822944,-2.79434260132722,-0.434245990595043,1.65779226512736,1.5707963267949,-0.799709541434548
2.36678579922764,-2.79502740934641,-0.432867195444546,1.65709827799606,1.5707963267949,-0.795989472432747
2.36313589954656,-2.79544236816329,-0.432031652495696,1.65667769386409,1.5707963267949,-0.792339572751663
2.35955213009657,-2.79559889353069,-0.431716467457699,1.65651903419349,1.5707963267949,-0.788755803301671
2.35603085489866,-2.79550800741759,-0.431899479789007,1.6566111604117,1.5707963267949,-0.785234528103761
2.35256878809713,-2.79518038835417,-0.432559169149936,1.65694323070921,1.5707963267949,-0.781772461302234
2.34916294970843,-2.79462640312181,-0.433674598720726,1.65750467504764,1.5707963267949,-0.778366622913536
2.34581062841019,-2.79385612435601,-0.435225386268157,1.65828518382927,1.5707963267949,-0.775014301615289
2.34250935005106,-2.79287933782133,-0.437191695441363,1.6592747064678,1.5707963267949,-0.771713023256163
2.33925685084527,-2.79170554244161,-0.439554241120408,1.66046345676712,1.5707963267949,-0.768460524050377
2.33605105443089,-2.79034394558893,-0.442294303797424,1.66184192259146,1.5707963267949,-0.765254727635998
2.3328900521363,-2.78880345563309,-0.445393748976674,1.66340087781487,1.5707963267949,-0.762093725341407
2.32977208592731,-2.78709267331595,-0.448835048459138,1.66513139498019,1.5707963267949,-0.758975759132418
2.32669553360738,-2.78521988313742,-0.45260130113982,1.66702485748235,1.5707963267949,-0.755899206812482
2.32365889592219,-2.78319304561632,-0.45667625160029,1.66907297042171,1.5707963267949,-0.752862569127295
2.32066078528246,-2.78101979101717,-0.461044305329664,1.67126776955194,1.5707963267949,-0.74986445848756
2.31769991586859,-2.77870741491001,-0.465690539862037,1.67360162797715,1.5707963267949,-0.746903589073689
2.31477509492125,-2.77626287574988,-0.470600711483158,1.67606726043814,1.5707963267949,-0.743978768126357
2.31188521505431,-2.77369279452239,-0.475761257444013,1.67865772517151,1.5707963267949,-0.741088888259414
2.309029247453,-2.77100345639605,-0.481159293831861,1.68136642343301,1.5707963267949,-0.738232920658107
2.30620623584221,-2.76820081424663,-0.486782609401633,1.68418709685337,1.5707963267949,-0.735409909047316
2.30341529112726,-2.76529049386856,-0.492619655771021,1.68711382284468,1.5707963267949,-0.732618964332361
2.30065558662462,-2.76227780065817,-0.498659534441598,1.69014100830487,1.5707963267949,-0.729859259829727
2.29792635381228,-2.75916772754032,-0.504891981134213,1.69326338187964,1.5707963267949,-0.727130027017388
2.29522687853962,-2.75596496390801,-0.511307347927681,1.69647598504079,1.5707963267949,-0.724430551744728
2.29255649764556,-2.75267390535261,-0.517896583672206,1.69977416222992,1.5707963267949,-0.721760170850663
2.28991459594083,-2.74929866397591,-0.524651213118747,1.70315355029976,1.5707963267949,-0.719118269145936
2.28730060351662,-2.74584307909322,-0.531563315167283,1.7066100674656,1.5707963267949,-0.716504276721728
2.28471399334694,-2.74231072815652,-0.538625500594377,1.710139901956,1.5707963267949,-0.713917666552045
2.28215427915675,-2.73870493774775,-0.545830889576208,1.71373950052906,1.5707963267949,-0.711357952361854
2.27962101353179,-2.73502879451265,-0.553173089279846,1.7174055569976,1.5707963267949,-0.708824686736898
2.27711378624936,-2.73128515592569,-0.560646171753627,1.72113500088442,1.5707963267949,-0.706317459454461
